name,manaCost,cmc,colors,colorIdentity,type,types,subtypes,rarity,set,setName,text,artist,number,power,toughness,layout,multiverseid,imageUrl,printings,originalText,originalType,id
Jackknight,{1}{W},2,White,W,Artifact Creature — Cyborg Knight,Artifact,Cyborg,Rare,UST,Unstable,"Whenever another artifact enters the battlefield under your control, put a +1/+1 counter on Jackknight. If that artifact is a Contraption, Jackknight gains lifelink until end of turn.",Ben Wootten,11,1,1,normal,439400,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439400&type=card,UST,"Whenever another artifact enters the battlefield under your control, put a +1/+1 counter on Jackknight. If that artifact is a Contraption, Jackknight gains lifelink until end of turn.",Artifact Creature — Cyborg Knight,c2ce90dcb7fdc9f2d6d8501baa483f8e2a240cdc
Knight of the Kitchen Sink (a),{W}{W},2,White,W,Artifact Creature — Cyborg Knight,Artifact,Cyborg,Uncommon,UST,Unstable,"First strike, protection from black borders (Nothing with a black border can block, target, deal damage to, or attach to this creature.)",Mark A. Nelson,12,2,2,normal,439401,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439401&type=card,UST,"First strike, protection from black borders (Nothing with a black border can block, target, deal damage to, or attach to this creature.)",Artifact Creature — Cyborg Knight,e0391fdb8065fa5cc50b8a97356627ee8161ac92
Knight of the Kitchen Sink (b),{W}{W},2,White,W,Artifact Creature — Cyborg Knight,Artifact,Cyborg,Uncommon,UST,Unstable,"First strike, protection from even collector numbers (Nothing with an even collector number can block, target, deal damage to, or attach to this creature.)",Mark A. Nelson,12,2,2,normal,439625,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439625&type=card,UST,"First strike, protection from even collector numbers (Nothing with an even collector number can block, target, deal damage to, or attach to this creature.)",Artifact Creature — Cyborg Knight,8e2d7264aaa576e9be3f123bee8af33afe557c84
Knight of the Kitchen Sink (c),{W}{W},2,White,W,Artifact Creature — Cyborg Knight,Artifact,Cyborg,Uncommon,UST,Unstable,"First strike, protection from loose lips (Nothing with an open mouth in its artwork can block, target, deal damage to, or attach to this creature.)",Mark A. Nelson,12,2,2,normal,439626,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439626&type=card,UST,"First strike, protection from loose lips (Nothing with an open mouth in its artwork can block, target, deal damage to, or attach to this creature.)",Artifact Creature — Cyborg Knight,baafbd63fa41a71c6e9d92025c6435ddd9cc1782
Knight of the Kitchen Sink (d),{W}{W},2,White,W,Artifact Creature — Cyborg Knight,Artifact,Cyborg,Uncommon,UST,Unstable,"First strike, protection from odd collector numbers (Nothing with an odd collector number can block, target, deal damage to, or attach to this creature.)",Mark A. Nelson,12,2,2,normal,439627,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439627&type=card,UST,"First strike, protection from odd collector numbers (Nothing with an odd collector number can block, target, deal damage to, or attach to this creature.)",Artifact Creature — Cyborg Knight,5d7055b23d56b07cce509d24bf28457901f2ca6b
Knight of the Kitchen Sink (e),{W}{W},2,White,W,Artifact Creature — Cyborg Knight,Artifact,Cyborg,Uncommon,UST,Unstable,"First strike, protection from two-word names (Nothing with exactly two words in its name can block, target, deal damage to, or attach to this creature. Hyphenated words are one word.)",Mark A. Nelson,12,2,2,normal,439628,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439628&type=card,UST,"First strike, protection from two-word names (Nothing with exactly two words in its name can block, target, deal damage to, or attach to this creature. Hyphenated words are one word.)",Artifact Creature — Cyborg Knight,500f291e7f24c282657ea267a767e503396dbf61
Knight of the Kitchen Sink (f),{W}{W},2,White,W,Artifact Creature — Cyborg Knight,Artifact,Cyborg,Uncommon,UST,Unstable,"First strike, protection from watermarks (Nothing with a watermark can block, target, deal damage to, or attach to this creature.)",Mark A. Nelson,12,2,2,normal,439629,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439629&type=card,UST,"First strike, protection from watermarks (Nothing with a watermark can block, target, deal damage to, or attach to this creature.)",Artifact Creature — Cyborg Knight,397497ae65fef5f1a54cca1ea3dec67a2bce6def
Knight of the Widget,{2}{W},3,White,W,Artifact Creature — Cyborg Knight,Artifact,Cyborg,Uncommon,UST,Unstable,"Vigilance
Knight of the Widget's power and toughness are each equal to the number of Order of the Widget watermarks among permanents you control.",Emrah Elmasli,13,*,*,normal,439402,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439402&type=card,UST,"Vigilance
Knight of the Widget's power and toughness are each equal to the number of Order of the Widget watermarks among permanents you control.",Artifact Creature — Cyborg Knight,e1d43edd6a0911cb7648ccf256c907bce83b39a6
Midlife Upgrade,{3}{W},4,White,W,Sorcery,Sorcery,,Uncommon,UST,Unstable,"As an additional cost to cast Midlife Upgrade, sacrifice X Contraptions.
Assemble X plus one Contraptions. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)",Hector Ortiz,14,,,normal,439403,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439403&type=card,UST,"As an additional cost to cast Midlife Upgrade, sacrifice X Contraptions.
Assemble X plus one Contraptions. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)",Sorcery,1b598724dc8c6087c586a5be8486eaaa7378461c
Oddly Uneven,{3}{W}{W},5,White,W,Sorcery,Sorcery,,Rare,UST,Unstable,"Choose one —
• Destroy each creature with an odd number of words in its name. (Hyphenated words are one word.)
• Destroy each creature with an even number of words in its name.",Ben Wootten,15,,,normal,439404,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439404&type=card,UST,"Choose one —
• Destroy each creature with an odd number of words in its name. (Hyphenated words are one word.)
• Destroy each creature with an even number of words in its name.",Sorcery,f646942d4ffe8845d5dc4309414d66dc1718305a
Old Guard,{1}{W},2,White,W,Artifact Creature — Cyborg Soldier,Artifact,Cyborg,Common,UST,Unstable,"{W}, {T}: Tap target creature without reminder text. (Reminder text is still any italicized text in parentheses that explains rules you already know.)",David Sladek,16,2,1,normal,439405,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439405&type=card,UST,"{W}, {T}: Tap target creature without reminder text. (Reminder text is still any italicized text in parentheses that explains rules you already know.)",Artifact Creature — Cyborg Soldier,9757a5ba588d459ffb595b7d55a9606c15a79422
Ordinary Pony,{2}{W},3,White,W,Host Creature — Horse,Host,Horse,Common,UST,Unstable,"When this creature enters the battlefield, you may exile target non-Horse creature you control that wasn't put onto the battlefield with this ability this turn, then return it to the battlefield under its owner's control.",Andrea Radeck,17,2,3,normal,439406,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439406&type=card,UST,"When this creature enters the battlefield, you may exile target non-Horse creature you control, then return it to the battlefield under its owner's control.",Host Creature — Horse,94d8456cfadf9781927f2755fb077c04dde7c75f
Rhino-,,0,White,W,Creature — Rhino,Creature,Rhino,Uncommon,UST,Unstable,"Whenever this creature blocks,
Augment {3}{W} ({3}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",YW Tang,18,+1,+,normal,439407,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439407&type=card,UST,"Whenever this creature blocks,
Augment {3}{W} ({3}{W}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",Creature — Rhino,b97b40e2830e81a22e92dcc134c5d8968741bd5e
Riveting Rigger,{2}{W},3,White,W,Artifact Creature — Cyborg Rigger,Artifact,Cyborg,Common,UST,Unstable,"When Riveting Rigger enters the battlefield, you may sacrifice another artifact. If you do, put two +1/+1 counters on Riveting Rigger and it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",Mark A. Nelson,19,2,2,normal,439408,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439408&type=card,UST,"When Riveting Rigger enters the battlefield, you may sacrifice another artifact. If you do, put two +1/+1 counters on Riveting Rigger and it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",Artifact Creature — Cyborg Rigger,9f924fcae58d743347ee131234cd3a077f1d693d
Rules Lawyer,{3}{W}{W},5,White,W,Artifact Creature — Cyborg Advisor,Artifact,Cyborg,Rare,UST,Unstable,"State-based actions don't apply to you or other permanents you control. (You don't lose the game due to having 0 or less life or drawing from an empty library. Your creatures aren't destroyed due to damage or deathtouch and aren't put into a graveyard due to having 0 or less toughness. Your planeswalkers aren't put into a graveyard if they have 0 loyalty. You don't put a legendary permanent into a graveyard if you control two with the same name. Counters aren't removed from your permanents due to game rules. Permanents you control attached or combined illegally remain on the battlefield. For complete rules and regulations, see rule 704.)",Sean Murray,20,1,1,normal,439409,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439409&type=card,UST,"State-based actions don't apply to you or other permanents you control. (You don't lose the game due to having 0 or less life or drawing from an empty library. Your creatures aren't destroyed due to damage or deathtouch and aren't put into a graveyard due to having 0 or less toughness. Your planeswalkers aren't put into a graveyard if they have 0 loyalty. You don't put a legendary permanent into a graveyard if you control two with the same name. Counters aren't removed from your permanents due to game rules. Permanents you control attached or combined illegally remain on the battlefield. For complete rules and regulations, see rule 704.)",Artifact Creature — Cyborg Advisor,0196f9bc90cb76748c9d8ca2dc72a046b1ce5123
Sacrifice Play,{2}{W},3,White,W,Instant,Instant,,Common,UST,Unstable,A person outside the game chooses an attacking or blocking creature target opponent controls. That player sacrifices that creature.,Matt Gaser,21,,,normal,439410,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439410&type=card,UST,A person outside the game chooses an attacking or blocking creature target opponent controls. That player sacrifices that creature.,Instant,9ffaa3a04e16132786e4e60be903fdeaa88f6d81
Shaggy Camel,{3}{W},4,White,W,Host Creature — Camel,Host,Camel,Common,UST,Unstable,"When this creature enters the battlefield, creatures you control get +1/+1 until end of turn.",Kari Christensen,22,3,3,normal,439411,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439411&type=card,UST,"When this creature enters the battlefield, creatures you control get +1/+1 until end of turn.",Host Creature — Camel,7a235bc598233c98e4c93f5f270a029f80eccf7f
Side Quest,{W},1,White,W,Sorcery,Sorcery,,Uncommon,UST,Unstable,"Target player in a silver-bordered game you can see from your seat gains control of target creature you control until your next turn. At the beginning of your next upkeep, put two +1/+1 counters on that creature. (A creature is on the battlefield of only the game its controller is playing.)",Alex Konstad,23,,,normal,439412,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439412&type=card,UST,"Target player in a silver-bordered game you can see from your seat gains control of target creature you control until your next turn. At the beginning of your next upkeep, put two +1/+1 counters on that creature. (A creature is on the battlefield of only the game its controller is playing.)",Sorcery,2f03ec07ae907d66c5231587c1208108368af52c
Success!,{W},1,White,W,Instant,Instant,,Common,UST,Unstable,"Target creature gets +2/+2 until end of turn. If it's a host or has augment, it gains lifelink until end of turn.",Andrea Radeck,24,,,normal,439413,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439413&type=card,UST,"Target creature gets +2/+2 until end of turn. If it's a host or has augment, it gains lifelink until end of turn.",Instant,72ffac1e1e20b8f4c948dd506b4b275f4119ad7f
Teacher's Pet,{1}{W},2,White,W,Creature — Cat Bird Scientist,Creature,Cat,Uncommon,UST,Unstable,"{2}{W}, Sacrifice Teacher's Pet: Search your library for a card with augment, combine it with target host you control, then shuffle your library.",Mark Behm,25,2,1,normal,439414,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439414&type=card,UST,"{2}{W}, Sacrifice Teacher's Pet: Search your library for a card with augment, combine it with target host you control, then shuffle your library.",Creature — Cat Bird Scientist,19f3cfbed9b6814cd64b79cf3d7f28f22688b948
Animate Library,{4}{U}{U},6,Blue,U,Enchantment — Aura,Enchantment,Aura,Rare,UST,Unstable,"Enchant your library
Enchanted library is an artifact creature on the battlefield with power and toughness each equal to the number of cards in it. It's still a library.
If enchanted library would leave the battlefield, exile Animate Library instead.",Raymond Swanland,26,,,normal,439415,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439415&type=card,UST,"Enchant your library
Enchanted library is an artifact creature on the battlefield with power and toughness each equal to the number of cards in it. It's still a library.
If enchanted library would leave the battlefield, exile Animate Library instead.",Enchantment — Aura,33e966139895bbeb803ca28d3517c2adea6be752
Blurry Beeble,{U},1,Blue,U,Artifact Creature — Cyborg Beeble,Artifact,Cyborg,Common,UST,Unstable,"Blurry (This creature can be blocked only if defending player was wearing glasses as it was cast.)
Whenever Blurry Beeble deals combat damage to a player, you may draw a card. If you do, discard a card.",Jeff Miracola,27,1,1,normal,439416,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439416&type=card,UST,"Blurry (This creature can be blocked only if defending player was wearing glasses as it was cast.)
Whenever Blurry Beeble deals combat damage to a player, you may draw a card. If you do, discard a card.",Artifact Creature — Cyborg Beeble,a2715551b70ccb1086f20ba776f346f714efc413
Chipper Chopper,{3}{U},4,Blue,U,Artifact Creature — Cyborg Rigger,Artifact,Cyborg,Common,UST,Unstable,"Flying
When Chipper Chopper enters the battlefield, you may sacrifice another artifact. If you do, put two +1/+1 counters on Chipper Chopper and it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",Dmitry Burmak,28,1,1,normal,439417,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439417&type=card,UST,"Flying
When Chipper Chopper enters the battlefield, you may sacrifice another artifact. If you do, put two +1/+1 counters on Chipper Chopper and it assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",Artifact Creature — Cyborg Rigger,6e2f7e718cbe35bc6706c921dc53083aab92ddc5
Clocknapper,{3}{U}{U},5,Blue,U,Creature — Human Spy,Creature,Human,Rare,UST,Unstable,"When Clocknapper enters the battlefield, choose beginning phase, precombat main phase, combat phase, postcombat main phase, or ending phase. Steal that phase from target player during his or her next turn. (That phase occurs as though it's your turn instead.)",Marco Teixeira,29,2,2,normal,439418,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439418&type=card,UST,"When Clocknapper enters the battlefield, choose beginning phase, precombat main phase, combat phase, postcombat main phase, or ending phase. Steal that phase from target player during his or her next turn. (That phase occurs as though it's your turn instead.)",Creature — Human Spy,d8a5cb9b297b01bc999519b38d2e1bf0666fb8a7
Crafty Octopus,{2}{U},3,Blue,U,Host Creature — Octopus Rigger,Host,Octopus,Common,UST,Unstable,"When this creature enters the battlefield, this creature assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",Mark Behm,30,1,3,normal,439419,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439419&type=card,UST,"When this creature enters the battlefield, this creature assembles a Contraption. (Put the top card of your Contraption deck face up onto one of your sprockets.)",Host Creature — Octopus Rigger,a89be2fc64c22b613826744ebd4ad7c2e25ff066
Crow Storm,{2}{U},3,Blue,U,Sorcery,Sorcery,,Uncommon,UST,Unstable,"Create a 1/2 blue Bird creature token with flying named Storm Crow.
Storm (When you cast this spell, copy it for each spell cast before it this turn.)",YW Tang,31,,,normal,439420,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439420&type=card,UST,"Create a 1/2 blue Bird creature token with flying named Storm Crow.
Storm (When you cast this spell, copy it for each spell cast before it this turn.)",Sorcery,72ba92028167296bc5ccb6617861b0c02f927c36
Defective Detective,{2}{U},3,Blue,U,Creature — Human Spy,Creature,Human,Common,UST,Unstable,"Defective Detective can't be blocked.
When Defective Detective enters the battlefield, a person outside the game looks at target opponent's hand and chooses a card from it. That player reveals that card.",Matt Dixon,32,2,1,normal,439421,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439421&type=card,UST,"Defective Detective can't be blocked.
When Defective Detective enters the battlefield, a person outside the game looks at target opponent's hand and chooses a card from it. That player reveals that card.",Creature — Human Spy,c110136c38e5109b8d95732ecb2384434073f101
Five-Finger Discount,{4}{U}{U},6,Blue,U,Sorcery,Sorcery,,Uncommon,UST,Unstable,Put target nonland permanent into your hand. You may spend mana as though it were mana of any color the next time you cast that card.,Milivoj Ćeran,33,,,normal,439422,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439422&type=card,UST,Put target nonland permanent into your hand. You may spend mana as though it were mana of any color the next time you cast that card.,Sorcery,16b830fd7c40e495ced0b5ed354813671b2f2fd0
Graveyard Busybody,{4}{U}{U},6,Blue,U,Creature — Human Spy,Creature,Human,Rare,UST,Unstable,"All graveyards are also your graveyards.
Graveyard Busybody's power and toughness are each equal to the number of cards with flavor text in your graveyards.",Bram Sels,34,*,*,normal,439423,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439423&type=card,UST,"All graveyards are also your graveyards.
Graveyard Busybody's power and toughness are each equal to the number of cards with flavor text in your graveyards.",Creature — Human Spy,e004b43925c8e96171f4e004e72f9810746f5f01
"Half-Shark, Half-",,0,Blue,U,Creature — Fish,Creature,Fish,Uncommon,UST,Unstable,"At the beginning of your upkeep,
Augment {5}{U} ({5}{U}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",Brynn Metheney,35,+3,+2,normal,439424,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439424&type=card,UST,"At the beginning of your upkeep,
Augment {5}{U} ({5}{U}, Reveal this card from your hand: Combine it with target host. Augment only as a sorcery.)",Creature — Fish,31a28d4339c437d527d152c8c5a97b87ef15f3a0
Incite Insight,{X}{U}{U},2,Blue,U,Sorcery,Sorcery,,Rare,UST,Unstable,"Assemble X Contraptions. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)",David Sladek,36,,,normal,439425,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439425&type=card,UST,"Assemble X Contraptions. (To assemble a Contraption, put the top card of your Contraption deck face up onto one of your sprockets.)",Sorcery,7eb601c927d3d149d2012926c1a458bdbec39ee2
Kindly Cognician,{1}{U},2,Blue,U,Artifact Creature — Cyborg Artificer,Artifact,Cyborg,Uncommon,UST,Unstable,Spells you cast that refer to artifacts or Contraptions in their rules text cost {1} less to cast.,Mark Behm,37,1,3,normal,439426,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439426&type=card,UST,Spells you cast that refer to artifacts or Contraptions in their rules text cost {1} less to cast.,Artifact Creature — Cyborg Artificer,a9cdcc22575aa05579bdfe79c86851e01ca79a9f
Magic Word,{2}{U},3,Blue,U,Enchantment — Aura,Enchantment,Aura,Common,UST,Unstable,"Enchant creature
As Magic Word enters the battlefield, choose a word.
Whisper the chosen word: Tap enchanted creature.",Carl Frank,38,,,normal,439427,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439427&type=card,UST,"Enchant creature
As Magic Word enters the battlefield, choose a word.
Whisper the chosen word: Tap enchanted creature.",Enchantment — Aura,267f20974fa8ccd4d3b5235049cd3ba3548fd2c4
Mer Man,{4}{U},5,Blue,U,Host Creature — Human Fish,Host,Human,Common,UST,Unstable,"When this creature enters the battlefield, you may draw a card.",Mark Behm,39,3,3,normal,439428,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439428&type=card,UST,"When this creature enters the battlefield, you may draw a card.",Host Creature — Human Fish,52c4ea3930cb61d9992dd424adf32ad212418a63
More or Less,{U},1,Blue,U,Instant,Instant,,Uncommon,UST,Unstable,Add or subtract 1 or one from a number or number word on target spell or permanent until end of turn.,Chris Seaman,40,,,normal,439429,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439429&type=card,UST,Add or subtract 1 or one from a number or number word on target spell or permanent until end of turn.,Instant,b6abff553f451784656d019e2f3092908c089dcc
Novellamental,{1}{U},2,Blue,U,Creature — Elemental,Creature,Elemental,Common,UST,Unstable,"Flying
Novellamental can block only creatures with flying.",Tom Babbey,41,2,1,normal,439430,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439430&type=card,UST,"Flying
Novellamental can block only creatures with flying.",Creature — Elemental,a42e861bf62bf2c7ab4a9dc27c6a95e365682ad2
Novellamental,{1}{U},2,Blue,U,Creature — Elemental,Creature,Elemental,Common,UST,Unstable,"Flying
Novellamental can block only creatures with flying.",Tom Babbey,41,2,1,normal,439622,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439622&type=card,UST,"Flying
Novellamental can block only creatures with flying.",Creature — Elemental,d89a641ad1f6be21191c4681d6f6f50f7eefa1dd
Novellamental,{1}{U},2,Blue,U,Creature — Elemental,Creature,Elemental,Common,UST,Unstable,"Flying
Novellamental can block only creatures with flying.",Tom Babbey,41,2,1,normal,439623,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=439623&type=card,UST,"Flying
Novellamental can block only creatures with flying.",Creature — Elemental,16f6177a902937dad25cb39d597abd37e5098d8e
